epoch,batch_size,combination_number,dense_layers,epochs,learning_rate,loss,lstm1_dropouts,lstm1_nodes,lstm_layers,optimizer,time_steps,val_loss
0,30,-1,"""[layers]""",100,0.005292126635137785,0.0789865951713485,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.00318644183321989
1,30,-1,"""[layers]""",100,0.005292126635137785,0.06749530082258086,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.013225841602044446
2,30,-1,"""[layers]""",100,0.005292126635137785,0.015589659238078942,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.007630767999216914
3,30,-1,"""[layers]""",100,0.005292126635137785,0.005695916609208022,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.007832575256803207
4,30,-1,"""[layers]""",100,0.005292126635137785,0.009672837413139254,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006967340163620455
5,30,-1,"""[layers]""",100,0.005292126635137785,0.0043159234567914,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006188928981178573
6,30,-1,"""[layers]""",100,0.005292126635137785,0.005456999335971584,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006266565660813025
7,30,-1,"""[layers]""",100,0.005292126635137785,0.010274507902067853,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.00387325367358114
8,30,-1,"""[layers]""",100,0.005292126635137785,0.002786003315122798,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006209652904154999
9,30,-1,"""[layers]""",100,0.005292126635137785,0.003683177007284636,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006024421292490193
10,30,-1,"""[layers]""",100,0.005292126635137785,0.0034665166761745545,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006974773947149515
11,30,-1,"""[layers]""",100,0.005292126635137785,0.0032606163028200776,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006075931313846793
12,30,-1,"""[layers]""",100,0.005292126635137785,0.00419631847034907,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.005825803748198918
13,30,-1,"""[layers]""",100,0.005292126635137785,0.002340087570094814,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006782498709591371
14,30,-1,"""[layers]""",100,0.005292126635137785,0.003115207246689048,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006296359168897782
15,30,-1,"""[layers]""",100,0.005292126635137785,0.0041089305850618985,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.00524944020435214
16,30,-1,"""[layers]""",100,0.005292126635137785,0.002380785565037513,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.005608248956767576
17,30,-1,"""[layers]""",100,0.005292126635137785,0.00229031614435371,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.006212792525600109
18,30,-1,"""[layers]""",100,0.005292126635137785,0.0020926641906650425,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.0023606777124639067
19,30,-1,"""[layers]""",100,0.005292126635137785,0.0032529428329629204,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.005233434195231114
20,30,-1,"""[layers]""",100,0.005292126635137785,0.0019856647001385377,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.00623371049628726
21,30,-1,"""[layers]""",100,0.005292126635137785,0.002788282259037563,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.005436192299904568
22,30,-1,"""[layers]""",100,0.005292126635137785,0.0019265588913791969,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.005014765708308134
23,30,-1,"""[layers]""",100,0.005292126635137785,0.002245733068169405,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.004671482419195984
24,30,-1,"""[layers]""",100,0.005292126635137785,0.0019458814567769878,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.005133941536769271
25,30,-1,"""[layers]""",100,0.005292126635137785,0.0031948439427651465,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.0055229552090168
26,30,-1,"""[layers]""",100,0.005292126635137785,0.0029774280374113005,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.003368073109803455
27,30,-1,"""[layers]""",100,0.005292126635137785,0.002050561783107696,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.004911847013447966
28,30,-1,"""[layers]""",100,0.005292126635137785,0.002029839529617069,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.0058431005704083615
29,30,-1,"""[layers]""",100,0.005292126635137785,0.0029894548515585484,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.002546623964527888
30,30,-1,"""[layers]""",100,0.005292126635137785,0.0019704775428787493,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.003662334821586098
31,30,-1,"""[layers]""",100,0.005292126635137785,0.0035464123890657597,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.004947724120159235
32,30,-1,"""[layers]""",100,0.005292126635137785,0.002173347070007973,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.008695317365761315
33,30,-1,"""[layers]""",100,0.005292126635137785,0.0019361036890283383,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.0052891218303037545
34,30,-1,"""[layers]""",100,0.005292126635137785,0.0019486952927157593,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.004087821214592883
35,30,-1,"""[layers]""",100,0.005292126635137785,0.0019129544477133702,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.004610502127824085
36,30,-1,"""[layers]""",100,0.005292126635137785,0.002513328506514275,0.07991885976657032,130,"""[layers, lstm2_dropouts, lstm2_nodes]""",rms,30,0.0035827653648863944
